1 .155222855D0 .01203671025D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.01203671025D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .03611013075D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.03611013075D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .06018355125D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.06018355125D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .08425697174999999D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.08425697174999999D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .10833039225D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.10833039225D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .13240381275D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.13240381275D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .15647723325D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.15647723325D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .18055065375D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.18055065375D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .20462407425D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.20462407425D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .22869749475D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.22869749475D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .25277091525D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.25277091525D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .27684433575D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.27684433575D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .30091775625D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.30091775625D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .32499117675D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.32499117675D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .3490645972500001D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.3490645972500001D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .37313801775D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 -.37313801775D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
1 .155222855D0 .39721143825D0 .003235130000000003D0 .0240734205D0 690D-9 0 IVC     
